[Thu Jan 14 14:56:14 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: 2d96ffbe520500b6, Platform: android, PUSH ID: APA91bEK-I6KmmzkVsJz3iw6eRMcj5B_I_bWUAche8zriJ_NwcDGU9n0Pq06AbEErG_CKlF5FCyS_84FRi4ljZcBHIudYFsazhhXEYyjm3XiD4__cIRj0KPwmmb4Ak8n9YchzkGf4kzf]	 Status: [Existing]
[Thu Jan 14 14:56:15 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: 2d96ffbe520500b6, Platform: android, PUSH ID: APA91bEK-I6KmmzkVsJz3iw6eRMcj5B_I_bWUAche8zriJ_NwcDGU9n0Pq06AbEErG_CKlF5FCyS_84FRi4ljZcBHIudYFsazhhXEYyjm3XiD4__cIRj0KPwmmb4Ak8n9YchzkGf4kzf]	 Status: [Existing]
[Thu Jan 14 15:00:01 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: 2d96ffbe520500b6, Platform: android, PUSH ID: APA91bEK-I6KmmzkVsJz3iw6eRMcj5B_I_bWUAche8zriJ_NwcDGU9n0Pq06AbEErG_CKlF5FCyS_84FRi4ljZcBHIudYFsazhhXEYyjm3XiD4__cIRj0KPwmmb4Ak8n9YchzkGf4kzf]	 Status: [Existing]
[Thu Jan 14 15:00:54 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: 2d96ffbe520500b6, Platform: android, PUSH ID: APA91bEK-I6KmmzkVsJz3iw6eRMcj5B_I_bWUAche8zriJ_NwcDGU9n0Pq06AbEErG_CKlF5FCyS_84FRi4ljZcBHIudYFsazhhXEYyjm3XiD4__cIRj0KPwmmb4Ak8n9YchzkGf4kzf]	 Status: [Existing]
[Thu Jan 14 17:56:28 2016]	[client: 120.28.99.62] [file: core.class.php] - [Device ID: AD8630DF-D688-4981-B728-B810FFDFC658, Platform: ios, PUSH ID: a1c381139d2ec8977be50e6ec4529af665b95da8de9200d4570ef1e037eb78aa]	 Status: [Success]
[Thu Jan 14 18:12:17 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: 94789a320e7484e, Platform: android, PUSH ID: APA91bEB5Hzv58ThTVHZR1i4mVffzWdMIc3rTCzZgcK0bhhlnUCcPMKjCUPZTYjIKRE5-pNQ5X2yBCfIqypz9tN-LkSCED3D1Ks4k6InW7htkaP-a0E0uPtqQCgfKMi83k62CLYK08l0]	 Status: [Success]
[Thu Jan 14 18:12:18 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: 94789a320e7484e, Platform: android, PUSH ID: APA91bEB5Hzv58ThTVHZR1i4mVffzWdMIc3rTCzZgcK0bhhlnUCcPMKjCUPZTYjIKRE5-pNQ5X2yBCfIqypz9tN-LkSCED3D1Ks4k6InW7htkaP-a0E0uPtqQCgfKMi83k62CLYK08l0]	 Status: [Existing]
[Thu Jan 14 18:45:41 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: 48b224b9bb7f1dc9, Platform: android, PUSH ID: APA91bGm9s1gVA33Lwi7Cpc5k57CW2z1F3Ye_VH2_hQpeVPgx_No83X6hY-4mkcyDWoynVAZ_l0gcaVRy7M20IG14Bcj-U-LtgwZL18KzD2u5ZCTyWx8IGdKQIbrSieqjMjJi48dPbtE]	 Status: [Success]
[Thu Jan 14 18:45:42 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: 48b224b9bb7f1dc9, Platform: android, PUSH ID: APA91bF4dG8hqDt8csLvPJAQeZfScRtM1K03eIPUMQLre-g8n0rJFGHHGPN6EPyTPdnkvyoi--HP4SDvQHkYfMRpZnLU3x7RRTOgxc6JSOjWgpXD97_uJcTDq3mWa71_4IzE-nurG1LK]	 Status: [Existing]
[Thu Jan 14 18:49:44 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: e473d68089377f14, Platform: android, PUSH ID: APA91bHLvxBTa27qte88nhM78gG1Mk486-IAS_RHrnxZ74Y54aMB1yZthMDOvymPgQRl-ab9E9eaYgQz52jRt_KufcxOD9Lf30bFG6VNeQ7NQshec6RF9hlOFUO5s4RGl4jCFsTJg4Q7]	 Status: [Success]
[Thu Jan 14 18:49:45 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: e473d68089377f14, Platform: android, PUSH ID: APA91bHLvxBTa27qte88nhM78gG1Mk486-IAS_RHrnxZ74Y54aMB1yZthMDOvymPgQRl-ab9E9eaYgQz52jRt_KufcxOD9Lf30bFG6VNeQ7NQshec6RF9hlOFUO5s4RGl4jCFsTJg4Q7]	 Status: [Existing]
[Thu Jan 14 18:51:40 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: 2da3c00f4dccb38, Platform: android, PUSH ID: APA91bFnCLquF17qJF1bT5s3Nf6pfuLMWRHj6LWWz9Skcw9OwFnQJDZgnYNu4UMB1VIYQ9Vo7PY4HbUAJ6dQsMtaiwqeWfVNIDR6JxD419pwI864Xg-hb_GWN2lRX_Y7UteG3iIg1tDS]	 Status: [Success]
[Thu Jan 14 18:51:40 2016]	[client: 112.208.21.39] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 2da3c00f4dccb38, Platform: android, PUSH ID: APA91bFnCLquF17qJF1bT5s3Nf6pfuLMWRHj6LWWz9Skcw9OwFnQJDZgnYNu4UMB1VIYQ9Vo7PY4HbUAJ6dQsMtaiwqeWfVNIDR6JxD419pwI864Xg-hb_GWN2lRX_Y7UteG3iIg1tDS]
[Thu Jan 14 18:51:54 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: e473d68089377f14, Platform: android, PUSH ID: APA91bHLvxBTa27qte88nhM78gG1Mk486-IAS_RHrnxZ74Y54aMB1yZthMDOvymPgQRl-ab9E9eaYgQz52jRt_KufcxOD9Lf30bFG6VNeQ7NQshec6RF9hlOFUO5s4RGl4jCFsTJg4Q7]	 Status: [Existing]
[Thu Jan 14 18:51:55 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: e473d68089377f14, Platform: android, PUSH ID: APA91bHLvxBTa27qte88nhM78gG1Mk486-IAS_RHrnxZ74Y54aMB1yZthMDOvymPgQRl-ab9E9eaYgQz52jRt_KufcxOD9Lf30bFG6VNeQ7NQshec6RF9hlOFUO5s4RGl4jCFsTJg4Q7]	 Status: [Existing]
[Thu Jan 14 18:55:48 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: 2da3c00f4dccb38, Platform: android, PUSH ID: APA91bFnCLquF17qJF1bT5s3Nf6pfuLMWRHj6LWWz9Skcw9OwFnQJDZgnYNu4UMB1VIYQ9Vo7PY4HbUAJ6dQsMtaiwqeWfVNIDR6JxD419pwI864Xg-hb_GWN2lRX_Y7UteG3iIg1tDS]	 Status: [Existing]
[Thu Jan 14 18:55:49 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: 2da3c00f4dccb38, Platform: android, PUSH ID: APA91bFnCLquF17qJF1bT5s3Nf6pfuLMWRHj6LWWz9Skcw9OwFnQJDZgnYNu4UMB1VIYQ9Vo7PY4HbUAJ6dQsMtaiwqeWfVNIDR6JxD419pwI864Xg-hb_GWN2lRX_Y7UteG3iIg1tDS]	 Status: [Existing]
[Thu Jan 14 19:03:18 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: 2da3c00f4dccb38, Platform: android, PUSH ID: APA91bFnCLquF17qJF1bT5s3Nf6pfuLMWRHj6LWWz9Skcw9OwFnQJDZgnYNu4UMB1VIYQ9Vo7PY4HbUAJ6dQsMtaiwqeWfVNIDR6JxD419pwI864Xg-hb_GWN2lRX_Y7UteG3iIg1tDS]	 Status: [Existing]
[Thu Jan 14 19:03:19 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: 2da3c00f4dccb38, Platform: android, PUSH ID: APA91bFnCLquF17qJF1bT5s3Nf6pfuLMWRHj6LWWz9Skcw9OwFnQJDZgnYNu4UMB1VIYQ9Vo7PY4HbUAJ6dQsMtaiwqeWfVNIDR6JxD419pwI864Xg-hb_GWN2lRX_Y7UteG3iIg1tDS]	 Status: [Existing]
[Thu Jan 14 19:04:45 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: 5b1da0aa90b03ea4, Platform: android, PUSH ID: APA91bEQp1SYAyxRQEbaMMYswbU5c5FqY-CkgSGmgK_R894xWj1E72Ors6KzHpNQlnjeSQVEaTdH-Um2Tn2D-SiMc8jYmnKLcVLcJImkcaln33ts1lO1yEziRYzioSu7Zz41eevVRo1Z]	 Status: [Success]
[Thu Jan 14 19:04:46 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: 5b1da0aa90b03ea4, Platform: android, PUSH ID: APA91bEQp1SYAyxRQEbaMMYswbU5c5FqY-CkgSGmgK_R894xWj1E72Ors6KzHpNQlnjeSQVEaTdH-Um2Tn2D-SiMc8jYmnKLcVLcJImkcaln33ts1lO1yEziRYzioSu7Zz41eevVRo1Z]	 Status: [Existing]
[Thu Jan 14 19:07:56 2016]	[client: 121.54.54.239] [file: core.class.php] - [Device ID: 1ce037337eb21bff, Platform: android, PUSH ID: APA91bE3tqNxXTryHuLVsnyrqz-BjmnEzq2zlqTt80k5UNhbMptFqTM8gYQ92-5TKijS9myGaKD3ZUJQHYXcInrduO656I0ZwjwThKispS8X17Fhacp-kOs94-hmOHaY6c87GJzDD7vD]	 Status: [Success]
[Thu Jan 14 19:07:57 2016]	[client: 121.54.54.239] [file: core.class.php] - [Device ID: 1ce037337eb21bff, Platform: android, PUSH ID: APA91bE3tqNxXTryHuLVsnyrqz-BjmnEzq2zlqTt80k5UNhbMptFqTM8gYQ92-5TKijS9myGaKD3ZUJQHYXcInrduO656I0ZwjwThKispS8X17Fhacp-kOs94-hmOHaY6c87GJzDD7vD]	 Status: [Existing]
[Thu Jan 14 19:09:17 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: e473d68089377f14, Platform: android, PUSH ID: APA91bHLvxBTa27qte88nhM78gG1Mk486-IAS_RHrnxZ74Y54aMB1yZthMDOvymPgQRl-ab9E9eaYgQz52jRt_KufcxOD9Lf30bFG6VNeQ7NQshec6RF9hlOFUO5s4RGl4jCFsTJg4Q7]	 Status: [Existing]
[Thu Jan 14 19:09:18 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: e473d68089377f14, Platform: android, PUSH ID: APA91bHLvxBTa27qte88nhM78gG1Mk486-IAS_RHrnxZ74Y54aMB1yZthMDOvymPgQRl-ab9E9eaYgQz52jRt_KufcxOD9Lf30bFG6VNeQ7NQshec6RF9hlOFUO5s4RGl4jCFsTJg4Q7]	 Status: [Existing]
[Thu Jan 14 19:09:28 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: e473d68089377f14, Platform: android, PUSH ID: APA91bHLvxBTa27qte88nhM78gG1Mk486-IAS_RHrnxZ74Y54aMB1yZthMDOvymPgQRl-ab9E9eaYgQz52jRt_KufcxOD9Lf30bFG6VNeQ7NQshec6RF9hlOFUO5s4RGl4jCFsTJg4Q7]	 Status: [Existing]
[Thu Jan 14 19:09:28 2016]	[client: 112.208.21.39] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: e473d68089377f14, Platform: android, PUSH ID: APA91bHLvxBTa27qte88nhM78gG1Mk486-IAS_RHrnxZ74Y54aMB1yZthMDOvymPgQRl-ab9E9eaYgQz52jRt_KufcxOD9Lf30bFG6VNeQ7NQshec6RF9hlOFUO5s4RGl4jCFsTJg4Q7]
[Thu Jan 14 19:11:03 2016]	[client: 121.54.54.239] [file: core.class.php] - [Device ID: 1ce037337eb21bff, Platform: android, PUSH ID: APA91bE3tqNxXTryHuLVsnyrqz-BjmnEzq2zlqTt80k5UNhbMptFqTM8gYQ92-5TKijS9myGaKD3ZUJQHYXcInrduO656I0ZwjwThKispS8X17Fhacp-kOs94-hmOHaY6c87GJzDD7vD]	 Status: [Existing]
[Thu Jan 14 19:11:03 2016]	[client: 121.54.54.239] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 1ce037337eb21bff, Platform: android, PUSH ID: APA91bE3tqNxXTryHuLVsnyrqz-BjmnEzq2zlqTt80k5UNhbMptFqTM8gYQ92-5TKijS9myGaKD3ZUJQHYXcInrduO656I0ZwjwThKispS8X17Fhacp-kOs94-hmOHaY6c87GJzDD7vD]
[Thu Jan 14 19:16:01 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: 5b1da0aa90b03ea4, Platform: android, PUSH ID: APA91bEQp1SYAyxRQEbaMMYswbU5c5FqY-CkgSGmgK_R894xWj1E72Ors6KzHpNQlnjeSQVEaTdH-Um2Tn2D-SiMc8jYmnKLcVLcJImkcaln33ts1lO1yEziRYzioSu7Zz41eevVRo1Z]	 Status: [Existing]
[Thu Jan 14 19:16:01 2016]	[client: 112.208.21.39] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 5b1da0aa90b03ea4, Platform: android, PUSH ID: APA91bEQp1SYAyxRQEbaMMYswbU5c5FqY-CkgSGmgK_R894xWj1E72Ors6KzHpNQlnjeSQVEaTdH-Um2Tn2D-SiMc8jYmnKLcVLcJImkcaln33ts1lO1yEziRYzioSu7Zz41eevVRo1Z]
