[Tue Nov 10 14:27:57 2015]	[client: 58.69.142.44] [file: points.class.php] - QR-Code: [APP-3JF9-00009]	 Status: [Success]	 Response : MEM8S13956MgIEWB
[Tue Nov 10 14:30:09 2015]	[client: 58.69.142.44] [file: points.class.php] - QR-Code: [APP-3JF9-00009]	 Status: [Success]	 Response : MEM8S13956MgIEWB
[Tue Nov 10 14:42:42 2015]	[client: 58.69.142.44] [file: points.class.php] - QR-Code: [APP-3JF9-00009]	 Status: [Success]	 Response : MEM8S13956MgIEWB
[Tue Nov 10 14:43:50 2015]	[client: 58.69.142.44] [file: points.class.php] - QR-Code: [APP-3JF9-00009]	 Status: [Success]	 Response : MEM8S13956MgIEWB
[Tue Nov 10 14:44:47 2015]	[client: 58.69.142.44] [file: points.class.php] - QR-Code: [APP-3JF9-00009]	 Status: [Success]	 Response : MEM8S13956MgIEWB
[Tue Nov 10 14:45:26 2015]	[client: 58.69.142.44] [file: points.class.php] - QR-Code: [APP-3JF9-00009]	 Status: [Success]	 Response : MEM8S13956MgIEWB
[Tue Nov 10 14:47:20 2015]	[client: 58.69.142.44] [file: points.class.php] - QR-Code: [APP-3JF9-00009]	 Status: [Success]	 Response : MEM8S13956MgIEWB
[Tue Nov 10 15:08:30 2015]	[client: 58.69.142.44] [file: points.class.php] - QR-Code: [APP-3JF9-00009]	 Status: [Success]	 Response : MEM8S13956MgIEWB
[Tue Nov 10 15:19:09 2015]	[client: 58.69.142.44] [file: points.class.php] - QR-Code: [APP-3JF9-00009]	 Status: [Success]	 Response : MEM8S13956MgIEWB
[Tue Nov 10 17:05:05 2015]	[client: 121.54.44.88] [file: points.class.php] - QR-Code: [APP-3JF9-00009]	 Status: [Success]	 Response : MEM8S13956MgIEWB
