[Fri Jan 29 10:03:33 2016]	[client: 121.54.54.155] [file: core.class.php] - [Device ID: 5dc448760edddd2e, Platform: android, PUSH ID: APA91bEYlqCbamesZlYGT6nCbn1AvaJ7leaTEiuLxKDPNvbi4KKjT0M5J_umy7PIEHqsG6I3EX3mosxCez55z4BLNSQyzntxdzl8b37nm9d5SKqF9s1BEFSAAfRJXseNmyDkSNN4u5ay]	 Status: [Existing]
[Fri Jan 29 10:04:14 2016]	[client: 119.95.49.166] [file: core.class.php] - [Device ID: d4ad1413291af42, Platform: android, PUSH ID: APA91bEux56oEzZMyZvK5Z20O4nVUXGx7j4QMBeg8sKRQ70sBrRjUOWJtAkCqtONkD9n9tzXECyFprKRK2cRCg-im_mJmPxtq8qnDI98ZRDborgthFz8DHe3MKvWLZIC0YuqlXxbVqzR]	 Status: [Existing]
[Fri Jan 29 10:04:16 2016]	[client: 119.95.49.166] [file: core.class.php] - [Device ID: d4ad1413291af42, Platform: android, PUSH ID: APA91bEux56oEzZMyZvK5Z20O4nVUXGx7j4QMBeg8sKRQ70sBrRjUOWJtAkCqtONkD9n9tzXECyFprKRK2cRCg-im_mJmPxtq8qnDI98ZRDborgthFz8DHe3MKvWLZIC0YuqlXxbVqzR]	 Status: [Existing]
[Fri Jan 29 10:07:56 2016]	[client: 119.95.49.166] [file: core.class.php] - [Device ID: DAB56F20-35AA-4A4C-82B8-AC292F927666, Platform: ios, PUSH ID: 0b661a60c559ab4e7e6024818f8694e8dfb9af6f5fe512d8b8c209b221870764]	 Status: [Success]
[Fri Jan 29 10:27:06 2016]	[client: 120.28.99.62] [file: core.class.php] - [Device ID: 279fbb24f9d9db9c, Platform: android, PUSH ID: APA91bE9a567JJRcEp2Ejsb0eVfLHGuwkamLdZ_XgyFbNjCf3PggTc7PTTu7Wc9yes1zN6USa_NWvDvRQxJwbVcklM7tz4mHC4o3GiH1zqee8CTyp_BzLr44qYDVonPJAJsqkXqPWAKO]	 Status: [Success]
[Fri Jan 29 10:27:07 2016]	[client: 120.28.99.62] [file: core.class.php] - [Device ID: 279fbb24f9d9db9c, Platform: android, PUSH ID: APA91bE9a567JJRcEp2Ejsb0eVfLHGuwkamLdZ_XgyFbNjCf3PggTc7PTTu7Wc9yes1zN6USa_NWvDvRQxJwbVcklM7tz4mHC4o3GiH1zqee8CTyp_BzLr44qYDVonPJAJsqkXqPWAKO]	 Status: [Existing]
[Fri Jan 29 10:36:58 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: 1E4D4E86-2F2B-4D40-BE44-6C1F8F2A14DC, Platform: ios, PUSH ID: eb10263f79f1fd1bb34b026eb11d4d48a82898494e05cb2f74f1a923fd9a418f]	 Status: [Existing]
[Fri Jan 29 15:42:40 2016]	[client: 112.208.89.14] [file: core.class.php] - [Device ID: 69afef806133912, Platform: android, PUSH ID: APA91bELm0CguH6sR4qEnw5I9R2FQy1tXGT4-jC4tcYd_lI6p384MvUNHut6qYISNjAf9_21FAgw-x-RzrLU8Py3qgg-26pmdXJdGOxnpuDjGOkDgFch8somQK7UwWbM3MgD6yD_SnPS]	 Status: [Success]
[Fri Jan 29 15:42:41 2016]	[client: 112.208.89.14] [file: core.class.php] - [Device ID: 69afef806133912, Platform: android, PUSH ID: APA91bELm0CguH6sR4qEnw5I9R2FQy1tXGT4-jC4tcYd_lI6p384MvUNHut6qYISNjAf9_21FAgw-x-RzrLU8Py3qgg-26pmdXJdGOxnpuDjGOkDgFch8somQK7UwWbM3MgD6yD_SnPS]	 Status: [Existing]
[Fri Jan 29 15:45:32 2016]	[client: 112.208.89.14] [file: core.class.php] - [Device ID: 69afef806133912, Platform: android, PUSH ID: APA91bELm0CguH6sR4qEnw5I9R2FQy1tXGT4-jC4tcYd_lI6p384MvUNHut6qYISNjAf9_21FAgw-x-RzrLU8Py3qgg-26pmdXJdGOxnpuDjGOkDgFch8somQK7UwWbM3MgD6yD_SnPS]	 Status: [Existing]
[Fri Jan 29 15:45:33 2016]	[client: 112.208.89.14] [file: core.class.php] - [Device ID: 69afef806133912, Platform: android, PUSH ID: APA91bELm0CguH6sR4qEnw5I9R2FQy1tXGT4-jC4tcYd_lI6p384MvUNHut6qYISNjAf9_21FAgw-x-RzrLU8Py3qgg-26pmdXJdGOxnpuDjGOkDgFch8somQK7UwWbM3MgD6yD_SnPS]	 Status: [Existing]
[Fri Jan 29 15:46:36 2016]	[client: 112.208.89.14] [file: core.class.php] - [Device ID: 69afef806133912, Platform: android, PUSH ID: APA91bELm0CguH6sR4qEnw5I9R2FQy1tXGT4-jC4tcYd_lI6p384MvUNHut6qYISNjAf9_21FAgw-x-RzrLU8Py3qgg-26pmdXJdGOxnpuDjGOkDgFch8somQK7UwWbM3MgD6yD_SnPS]	 Status: [Existing]
[Fri Jan 29 15:46:37 2016]	[client: 112.208.89.14] [file: core.class.php] - [Device ID: 69afef806133912, Platform: android, PUSH ID: APA91bELm0CguH6sR4qEnw5I9R2FQy1tXGT4-jC4tcYd_lI6p384MvUNHut6qYISNjAf9_21FAgw-x-RzrLU8Py3qgg-26pmdXJdGOxnpuDjGOkDgFch8somQK7UwWbM3MgD6yD_SnPS]	 Status: [Existing]
[Fri Jan 29 17:56:30 2016]	[client: 119.94.254.226] [file: core.class.php] - [Device ID: 240a1dd2480ad4c4, Platform: android, PUSH ID: APA91bGxe5pegO1hEuR5X07sjIpb1kObC8r8Qu-PKq_w32xCqKYd_9Z3X9WKRP_kOhpUQiMhK9JI-qY6jFHDnY6nSnn6aY4p5rkYNXlzFel4j2SULl27b2VXlHIzXv77_84IRLlLD-Tc]	 Status: [Success]
[Fri Jan 29 17:56:30 2016]	[client: 119.94.254.226] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 240a1dd2480ad4c4, Platform: android, PUSH ID: APA91bGxe5pegO1hEuR5X07sjIpb1kObC8r8Qu-PKq_w32xCqKYd_9Z3X9WKRP_kOhpUQiMhK9JI-qY6jFHDnY6nSnn6aY4p5rkYNXlzFel4j2SULl27b2VXlHIzXv77_84IRLlLD-Tc]
