[Fri Jan 29 18:06:00 2016]	[client: 119.94.254.226] [file: core.class.php] - Device ID: [b8ae53d1d862c7fb]	 Status: [Success]	 Response : [True]
[Fri Jan 29 18:08:35 2016]	[client: 119.94.254.226] [file: points.class.php] - Device ID: [b8ae53d1d862c7fb]	 Status: [Success]	 Response : [True]
[Fri Jan 29 18:09:34 2016]	[client: 119.94.254.226] [file: core.class.php] - Device ID: [b8ae53d1d862c7fb]	 Status: [Success]	 Response : [True]
[Fri Jan 29 18:09:47 2016]	[client: 119.94.254.226] [file: points.class.php] - Device ID: [b8ae53d1d862c7fb]	 Status: [Success]	 Response : [True]
[Fri Jan 29 18:15:25 2016]	[client: 119.94.254.226] [file: core.class.php] - Device ID: [b8ae53d1d862c7fb]	 Status: [Success]	 Response : [True]
[Fri Jan 29 18:15:39 2016]	[client: 119.94.254.226] [file: points.class.php] - Device ID: [b8ae53d1d862c7fb]	 Status: [Success]	 Response : [True]
[Fri Jan 29 18:22:30 2016]	[client: 119.94.254.226] [file: core.class.php] - Device ID: [b8ae53d1d862c7fb]	 Status: [Success]	 Response : [True]
[Fri Jan 29 18:22:40 2016]	[client: 119.94.254.226] [file: points.class.php] - Device ID: [b8ae53d1d862c7fb]	 Status: [Success]	 Response : [True]
[Fri Jan 29 18:44:50 2016]	[client: 119.94.254.226] [file: core.class.php] - Device ID: [b8ae53d1d862c7fb]	 Status: [Success]	 Response : [True]
[Fri Jan 29 18:45:02 2016]	[client: 119.94.254.226] [file: points.class.php] - Device ID: [b8ae53d1d862c7fb]	 Status: [Success]	 Response : [True]
