[Thu Dec 03 14:54:14 2015]	[client: 121.54.44.173] [file: core.class.php] - [Device ID: 7b6c1d74a0ec654d, Platform: android, PUSH ID: APA91bGz8J5m65qQkEdihNFiTHVmWAKTgNmWhas2gWrE5pyLCnMfxakU-jcPg5UmtWOzOhYmN_ha2NHqa8UyiL613cjziss2g5404d7MwjFIjgpvTE-GueR1ZUQXLwX60hWGHKRDF31V]	 Status: [Success]
[Thu Dec 03 14:54:14 2015]	[client: 121.54.44.173] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 7b6c1d74a0ec654d, Platform: android, PUSH ID: APA91bGz8J5m65qQkEdihNFiTHVmWAKTgNmWhas2gWrE5pyLCnMfxakU-jcPg5UmtWOzOhYmN_ha2NHqa8UyiL613cjziss2g5404d7MwjFIjgpvTE-GueR1ZUQXLwX60hWGHKRDF31V]
[Thu Dec 03 14:55:04 2015]	[client: 121.54.32.107] [file: core.class.php] - [Device ID: 770eb52fc7b86460, Platform: android, PUSH ID: APA91bHkqMG0bpAOH3HWjUMGGfCeQLKM_8cF4J5ODRBG_HPck-Xe_Z_vGcZwdmAYgJf0HLnpxgEwOsDrvZBC0ACH_2cS63jW-SoCRH5uG855BQk21sHlUiM5SHK354mFGdEun2MzEDHl]	 Status: [Existing]
[Thu Dec 03 14:55:07 2015]	[client: 121.54.32.107] [file: core.class.php] - [Device ID: 770eb52fc7b86460, Platform: android, PUSH ID: APA91bHkqMG0bpAOH3HWjUMGGfCeQLKM_8cF4J5ODRBG_HPck-Xe_Z_vGcZwdmAYgJf0HLnpxgEwOsDrvZBC0ACH_2cS63jW-SoCRH5uG855BQk21sHlUiM5SHK354mFGdEun2MzEDHl]	 Status: [Existing]
[Thu Dec 03 14:56:16 2015]	[client: 112.198.78.205] [file: core.class.php] - [Device ID: 5fabe28bdd2e5695, Platform: android, PUSH ID: APA91bFSHovKc1aa1Y09fikLcLj63AvmMzPHh8xvHovap52hbfggFZP99Bbpk3o9qQ6LRwFM6cTjE8OUeZR6ILMtBWdi02FuPdpSFZk6MokL0VVNK5s9GfvvzKged7eejs3wJCrtWL-O]	 Status: [Success]
[Thu Dec 03 14:56:16 2015]	[client: 112.198.78.205] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 5fabe28bdd2e5695, Platform: android, PUSH ID: APA91bFSHovKc1aa1Y09fikLcLj63AvmMzPHh8xvHovap52hbfggFZP99Bbpk3o9qQ6LRwFM6cTjE8OUeZR6ILMtBWdi02FuPdpSFZk6MokL0VVNK5s9GfvvzKged7eejs3wJCrtWL-O]
[Thu Dec 03 14:56:23 2015]	[client: 121.54.32.107] [file: core.class.php] - [Device ID: 6376D045-7A94-4AE7-94F9-D77FE61040C8, Platform: ios, PUSH ID: ac22811fe4d7a24009067daf483456703605cd706427e5991487fc94deef6863]	 Status: [Success]
[Thu Dec 03 14:56:29 2015]	[client: 121.54.44.173] [file: core.class.php] - [Device ID: ba9319a27690e232, Platform: android, PUSH ID: APA91bFbIANtQOtYNU6td_wvOwRryfGVlpoLT7q3lMBhPZ8EtxQQ3sHpZsOUfYhc9oHikhPY_wwbDwyNUpatpfzuzJgVNK6O7vbJXI_DWxPBFQD0CrMXlXiVOE81_mBcJ9d2vSKDwsfj]	 Status: [Success]
[Thu Dec 03 14:56:30 2015]	[client: 121.54.44.173] [file: core.class.php] - [Device ID: ba9319a27690e232, Platform: android, PUSH ID: APA91bFbIANtQOtYNU6td_wvOwRryfGVlpoLT7q3lMBhPZ8EtxQQ3sHpZsOUfYhc9oHikhPY_wwbDwyNUpatpfzuzJgVNK6O7vbJXI_DWxPBFQD0CrMXlXiVOE81_mBcJ9d2vSKDwsfj]	 Status: [Existing]
[Thu Dec 03 15:00:09 2015]	[client: 121.54.44.173] [file: core.class.php] - [Device ID: 7b6c1d74a0ec654d, Platform: android, PUSH ID: APA91bGz8J5m65qQkEdihNFiTHVmWAKTgNmWhas2gWrE5pyLCnMfxakU-jcPg5UmtWOzOhYmN_ha2NHqa8UyiL613cjziss2g5404d7MwjFIjgpvTE-GueR1ZUQXLwX60hWGHKRDF31V]	 Status: [Existing]
