[Thu Jan 21 14:55:31 2016]	[client: 112.198.83.37] [file: core.class.php] - [Device ID: b50ac2702b6b8d64, Platform: android, PUSH ID: APA91bFM2Uw7TW5LoqGlrU6KuqF_qRXCwDLAHgdM82GPGSVq0lKSYRKKYQGeA539CooaCbWxVHSgqsNVAepWYUTiTO2POI0z7fX1RxH-hc-nl_wMEqPEk47qDaIYRBlb_8QyM0zH6iIc]	 Status: [Existing]
[Thu Jan 21 14:55:32 2016]	[client: 112.198.83.37] [file: core.class.php] - [Device ID: b50ac2702b6b8d64, Platform: android, PUSH ID: APA91bFM2Uw7TW5LoqGlrU6KuqF_qRXCwDLAHgdM82GPGSVq0lKSYRKKYQGeA539CooaCbWxVHSgqsNVAepWYUTiTO2POI0z7fX1RxH-hc-nl_wMEqPEk47qDaIYRBlb_8QyM0zH6iIc]	 Status: [Existing]
[Thu Jan 21 14:59:43 2016]	[client: 112.198.83.37] [file: core.class.php] - [Device ID: b50ac2702b6b8d64, Platform: android, PUSH ID: APA91bFM2Uw7TW5LoqGlrU6KuqF_qRXCwDLAHgdM82GPGSVq0lKSYRKKYQGeA539CooaCbWxVHSgqsNVAepWYUTiTO2POI0z7fX1RxH-hc-nl_wMEqPEk47qDaIYRBlb_8QyM0zH6iIc]	 Status: [Existing]
[Thu Jan 21 14:59:43 2016]	[client: 112.198.83.37] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: b50ac2702b6b8d64, Platform: android, PUSH ID: APA91bFM2Uw7TW5LoqGlrU6KuqF_qRXCwDLAHgdM82GPGSVq0lKSYRKKYQGeA539CooaCbWxVHSgqsNVAepWYUTiTO2POI0z7fX1RxH-hc-nl_wMEqPEk47qDaIYRBlb_8QyM0zH6iIc]
[Thu Jan 21 15:06:23 2016]	[client: 112.198.83.37] [file: core.class.php] - [Device ID: b50ac2702b6b8d64, Platform: android, PUSH ID: APA91bGQg6ur9UbmMzru1IWSZ9FuoKEnHur_zMg8xYmzAuMhY_-k2dDfbfbEJmKJSeBxsdXWsVLdpGdeB1zmaEHLbsgqqXJd81d9-XBDXQ3nANGCvVh8RvDVWvHFS56srJxCWmKqrkL3]	 Status: [Existing]
[Thu Jan 21 15:06:24 2016]	[client: 112.198.83.37] [file: core.class.php] - [Device ID: b50ac2702b6b8d64, Platform: android, PUSH ID: APA91bGQg6ur9UbmMzru1IWSZ9FuoKEnHur_zMg8xYmzAuMhY_-k2dDfbfbEJmKJSeBxsdXWsVLdpGdeB1zmaEHLbsgqqXJd81d9-XBDXQ3nANGCvVh8RvDVWvHFS56srJxCWmKqrkL3]	 Status: [Existing]
[Thu Jan 21 15:09:07 2016]	[client: 112.198.83.37] [file: core.class.php] - [Device ID: b50ac2702b6b8d64, Platform: android, PUSH ID: APA91bGQg6ur9UbmMzru1IWSZ9FuoKEnHur_zMg8xYmzAuMhY_-k2dDfbfbEJmKJSeBxsdXWsVLdpGdeB1zmaEHLbsgqqXJd81d9-XBDXQ3nANGCvVh8RvDVWvHFS56srJxCWmKqrkL3]	 Status: [Existing]
[Thu Jan 21 15:09:07 2016]	[client: 112.198.83.37] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: b50ac2702b6b8d64, Platform: android, PUSH ID: APA91bGQg6ur9UbmMzru1IWSZ9FuoKEnHur_zMg8xYmzAuMhY_-k2dDfbfbEJmKJSeBxsdXWsVLdpGdeB1zmaEHLbsgqqXJd81d9-XBDXQ3nANGCvVh8RvDVWvHFS56srJxCWmKqrkL3]
[Thu Jan 21 18:53:28 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: 8e1cdc45a7bba485, Platform: android, PUSH ID: APA91bEnCnEfIi9VcUypkPhljO-_v13LdqUrheejIXO-Jc_hrP7MVqnJ5GqDPfXTeuSr_Yg_qnCsMFxYivs5P1aZD75x4jinjsfmXuUqvUWticvklvbyXJHpXGs8Uxby1fTdIFxJddt4]	 Status: [Success]
[Thu Jan 21 18:53:28 2016]	[client: 112.208.21.39] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 8e1cdc45a7bba485, Platform: android, PUSH ID: APA91bEnCnEfIi9VcUypkPhljO-_v13LdqUrheejIXO-Jc_hrP7MVqnJ5GqDPfXTeuSr_Yg_qnCsMFxYivs5P1aZD75x4jinjsfmXuUqvUWticvklvbyXJHpXGs8Uxby1fTdIFxJddt4]
