[Thu Dec 31 11:02:28 2015]	[client: 112.198.100.17] [file: core.class.php] - [Device ID: 9c061434c0de2d3b, Platform: android, PUSH ID: APA91bFH8Fdib2FXXg2u2WUUp2CpZTK8L2-MVT04PszXDlg05tkXGqvRwXaOQobYR27Qz_zM72vDZfY-FZHV-POVtiiYeIHLnzhUVrwvNA8A_Sy_u5U6ZKwd-TiTkQQUPRJ1xruwU9aF]	 Status: [Existing]
[Thu Dec 31 11:02:28 2015]	[client: 112.198.100.17] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 9c061434c0de2d3b, Platform: android, PUSH ID: APA91bFH8Fdib2FXXg2u2WUUp2CpZTK8L2-MVT04PszXDlg05tkXGqvRwXaOQobYR27Qz_zM72vDZfY-FZHV-POVtiiYeIHLnzhUVrwvNA8A_Sy_u5U6ZKwd-TiTkQQUPRJ1xruwU9aF]
[Thu Dec 31 11:23:28 2015]	[client: 112.198.90.171] [file: core.class.php] - [Device ID: b0909533613dc359, Platform: android, PUSH ID: APA91bFEKkEkbo-5mmO5MhZ8quxCwGULvVCYd5DgHV0E0ewy0oswP5WGEAw3lZLqmGxcramIYscpICB67M7wzQLZpkUOh9UN-2nQJgZWkHjhzN6xDjxFzPgUQFeVSr0Yl_yjrMy4z_1b]	 Status: [Existing]
[Thu Dec 31 11:23:28 2015]	[client: 112.198.90.171] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: b0909533613dc359, Platform: android, PUSH ID: APA91bFEKkEkbo-5mmO5MhZ8quxCwGULvVCYd5DgHV0E0ewy0oswP5WGEAw3lZLqmGxcramIYscpICB67M7wzQLZpkUOh9UN-2nQJgZWkHjhzN6xDjxFzPgUQFeVSr0Yl_yjrMy4z_1b]
[Thu Dec 31 12:39:28 2015]	[client: 180.190.91.51] [file: core.class.php] - [Device ID: ddeca3ab59426c86, Platform: android, PUSH ID: APA91bGQA_tnn7e910d4OcFt7btd5VfGEO1SAvrfR9RkGElBYFVOOliZVDcIUCa57f6EQVMoAtsYnoLdt_P5a4NyS4lJoSBWLWoRtTgNr279CsqdWHuDHSXRJU3aMHSV3-vn9o9mI8fb]	 Status: [Existing]
[Thu Dec 31 12:39:29 2015]	[client: 180.190.91.51] [file: core.class.php] - [Device ID: ddeca3ab59426c86, Platform: android, PUSH ID: APA91bGQA_tnn7e910d4OcFt7btd5VfGEO1SAvrfR9RkGElBYFVOOliZVDcIUCa57f6EQVMoAtsYnoLdt_P5a4NyS4lJoSBWLWoRtTgNr279CsqdWHuDHSXRJU3aMHSV3-vn9o9mI8fb]	 Status: [Existing]
[Thu Dec 31 15:34:51 2015]	[client: 49.148.167.174] [file: core.class.php] - [Device ID: 7ed1820e7bb6e7a7, Platform: android, PUSH ID: APA91bERwyYfvz03iS1HwWBDkE1ACSoC_2Q6pvijHN91EkwYyP9rn2SDMXbwQWuzyJP32s6B2rcjfGvJZ5uBxUx8KEQYt4qjoVaK3rE9Ro8p-8D5dlKUKb1jlQfU9Yc_qcMyaBhkqb6W]	 Status: [Existing]
[Thu Dec 31 15:34:51 2015]	[client: 49.148.167.174] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 7ed1820e7bb6e7a7, Platform: android, PUSH ID: APA91bERwyYfvz03iS1HwWBDkE1ACSoC_2Q6pvijHN91EkwYyP9rn2SDMXbwQWuzyJP32s6B2rcjfGvJZ5uBxUx8KEQYt4qjoVaK3rE9Ro8p-8D5dlKUKb1jlQfU9Yc_qcMyaBhkqb6W]
[Thu Dec 31 18:30:11 2015]	[client: 112.203.238.161] [file: core.class.php] - [Device ID: f7faae03b513baa7, Platform: android, PUSH ID: APA91bHcafur7te07-Dx85GVY_iwb-WRVnEOqkD8F8hy2W19YYCk6XwyKv3Ww-MJn6g5Myz5L5JOt0Fs4CXm6IBnCi7mne4GJgQcxDzFPhcohveT_atlL4tr2BH3IRavHkP_zCpddxAt]	 Status: [Existing]
[Thu Dec 31 18:30:12 2015]	[client: 112.203.238.161] [file: core.class.php] - [Device ID: f7faae03b513baa7, Platform: android, PUSH ID: APA91bHcafur7te07-Dx85GVY_iwb-WRVnEOqkD8F8hy2W19YYCk6XwyKv3Ww-MJn6g5Myz5L5JOt0Fs4CXm6IBnCi7mne4GJgQcxDzFPhcohveT_atlL4tr2BH3IRavHkP_zCpddxAt]	 Status: [Existing]
