[Sun Jan 17 19:08:06 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: a4939cf59cad308b, Platform: android, PUSH ID: APA91bGfk5mo9XAzcJpOqs_3kiuqa17D_e5D5lwl2-xneUkv3HdU9QKq2FCDbO5si3ObZ5zyMI0kfdU9sTvedBmkQuhmtORVukr9VsZMhLWpKOz0GJmNIWwSminMFtHKtgwsPNedaMcN]	 Status: [Existing]
[Sun Jan 17 19:08:07 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: a4939cf59cad308b, Platform: android, PUSH ID: APA91bGfk5mo9XAzcJpOqs_3kiuqa17D_e5D5lwl2-xneUkv3HdU9QKq2FCDbO5si3ObZ5zyMI0kfdU9sTvedBmkQuhmtORVukr9VsZMhLWpKOz0GJmNIWwSminMFtHKtgwsPNedaMcN]	 Status: [Existing]
[Sun Jan 17 19:09:45 2016]	[client: 112.198.78.3] [file: core.class.php] - [Device ID: EBABE1EE-74A2-4AFB-9F32-6389F02277BE, Platform: ios, PUSH ID: 6a80135b542f2583c8620f4371d78ed8e2250e512f24686f07da274d51ba13e3]	 Status: [Success]
[Sun Jan 17 19:14:37 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: a4939cf59cad308b, Platform: android, PUSH ID: APA91bGfk5mo9XAzcJpOqs_3kiuqa17D_e5D5lwl2-xneUkv3HdU9QKq2FCDbO5si3ObZ5zyMI0kfdU9sTvedBmkQuhmtORVukr9VsZMhLWpKOz0GJmNIWwSminMFtHKtgwsPNedaMcN]	 Status: [Existing]
[Sun Jan 17 19:14:39 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: a4939cf59cad308b, Platform: android, PUSH ID: APA91bGfk5mo9XAzcJpOqs_3kiuqa17D_e5D5lwl2-xneUkv3HdU9QKq2FCDbO5si3ObZ5zyMI0kfdU9sTvedBmkQuhmtORVukr9VsZMhLWpKOz0GJmNIWwSminMFtHKtgwsPNedaMcN]	 Status: [Existing]
[Sun Jan 17 19:18:27 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: 2821e3f7fa054d1a, Platform: android, PUSH ID: APA91bGca4DnuxqGpHPk10R8kuo38IgiSzP6GC_BLQMgKPT72_YBmV0sQoCNbORSSx6-n3TlWO_7b3_mW8H3k1gkgD9CbuhJmKbq2wjcOja5YCfoHPlTh37HSgKaNe7VkXfXLt0WrSk5]	 Status: [Existing]
[Sun Jan 17 19:18:28 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: 2821e3f7fa054d1a, Platform: android, PUSH ID: APA91bGca4DnuxqGpHPk10R8kuo38IgiSzP6GC_BLQMgKPT72_YBmV0sQoCNbORSSx6-n3TlWO_7b3_mW8H3k1gkgD9CbuhJmKbq2wjcOja5YCfoHPlTh37HSgKaNe7VkXfXLt0WrSk5]	 Status: [Existing]
[Sun Jan 17 19:21:42 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: a4939cf59cad308b, Platform: android, PUSH ID: APA91bGfk5mo9XAzcJpOqs_3kiuqa17D_e5D5lwl2-xneUkv3HdU9QKq2FCDbO5si3ObZ5zyMI0kfdU9sTvedBmkQuhmtORVukr9VsZMhLWpKOz0GJmNIWwSminMFtHKtgwsPNedaMcN]	 Status: [Existing]
[Sun Jan 17 19:21:43 2016]	[client: 112.208.21.39] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: a4939cf59cad308b, Platform: android, PUSH ID: APA91bGfk5mo9XAzcJpOqs_3kiuqa17D_e5D5lwl2-xneUkv3HdU9QKq2FCDbO5si3ObZ5zyMI0kfdU9sTvedBmkQuhmtORVukr9VsZMhLWpKOz0GJmNIWwSminMFtHKtgwsPNedaMcN]
[Sun Jan 17 19:28:03 2016]	[client: 112.198.98.35] [file: core.class.php] - [Device ID: a87157052294aa11, Platform: android, PUSH ID: APA91bH08gRKKXlqwl3YhU44hFjI4D2jQq0i9Xy9VZmmKvs3H6KzBua5F4jwdyCP8GpEEAlGp0VuRWqOi4WtIqOIFey7Lg0mdLRe2mrKIMSeB8NlrqpkQZIstKgSwjEj1oMGDdAzapql]	 Status: [Success]
