[Wed Jan 20 18:49:15 2016]	[client: 112.208.21.39] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 68b41eb227667a47, Platform: android, PUSH ID: APA91bHzj5djRqMVd2WphN8w5HzUmPN1fVb22qtAd8UjDD2ZpDQg_74ScTOYMJvLVj3ygwh8AJW7zBtD6oJDRdCPOfCstEMredKTir1_t2Fpq6yv7A7YSP9DP25QWNulSXy1dPPTFG-2]
[Wed Jan 20 19:03:48 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: 2236a6d6343de727, Platform: android, PUSH ID: APA91bEBTeJwZ9VEeGBxR28G9xuQgkvou8BG1tYfNr58Y9dBEBsxQQJKj8U29up4DUsdagexJC9-c2Tfz1CBtPL3A2tCMhHcLaPeDKAEkV6ryKo56DnwwHUHi81G9TrJsn0oqEwYMgwO]	 Status: [Success]
[Wed Jan 20 19:03:49 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: 2236a6d6343de727, Platform: android, PUSH ID: APA91bEBTeJwZ9VEeGBxR28G9xuQgkvou8BG1tYfNr58Y9dBEBsxQQJKj8U29up4DUsdagexJC9-c2Tfz1CBtPL3A2tCMhHcLaPeDKAEkV6ryKo56DnwwHUHi81G9TrJsn0oqEwYMgwO]	 Status: [Existing]
[Wed Jan 20 19:12:35 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: 2236a6d6343de727, Platform: android, PUSH ID: APA91bEBTeJwZ9VEeGBxR28G9xuQgkvou8BG1tYfNr58Y9dBEBsxQQJKj8U29up4DUsdagexJC9-c2Tfz1CBtPL3A2tCMhHcLaPeDKAEkV6ryKo56DnwwHUHi81G9TrJsn0oqEwYMgwO]	 Status: [Existing]
[Wed Jan 20 19:12:36 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: 2236a6d6343de727, Platform: android, PUSH ID: APA91bEBTeJwZ9VEeGBxR28G9xuQgkvou8BG1tYfNr58Y9dBEBsxQQJKj8U29up4DUsdagexJC9-c2Tfz1CBtPL3A2tCMhHcLaPeDKAEkV6ryKo56DnwwHUHi81G9TrJsn0oqEwYMgwO]	 Status: [Existing]
[Wed Jan 20 19:23:26 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: 7308ba8ec7636fd4, Platform: android, PUSH ID: APA91bEAowEq_FUXL7erqRZZwHigijwRJSJRvQrmyZnqUMwPV8IClgVBi3NLtSgx7T_S1ywGJE_ZyCJpmg5R36SZyOiMbyj7DndCJtwGcHGh4zWsCnP92GdIY1g7c_84-2CxwNFhHdIB]	 Status: [Success]
[Wed Jan 20 19:23:27 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: 7308ba8ec7636fd4, Platform: android, PUSH ID: APA91bEAowEq_FUXL7erqRZZwHigijwRJSJRvQrmyZnqUMwPV8IClgVBi3NLtSgx7T_S1ywGJE_ZyCJpmg5R36SZyOiMbyj7DndCJtwGcHGh4zWsCnP92GdIY1g7c_84-2CxwNFhHdIB]	 Status: [Existing]
[Wed Jan 20 19:24:30 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: 7308ba8ec7636fd4, Platform: android, PUSH ID: APA91bEAowEq_FUXL7erqRZZwHigijwRJSJRvQrmyZnqUMwPV8IClgVBi3NLtSgx7T_S1ywGJE_ZyCJpmg5R36SZyOiMbyj7DndCJtwGcHGh4zWsCnP92GdIY1g7c_84-2CxwNFhHdIB]	 Status: [Existing]
[Wed Jan 20 19:24:32 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: 7308ba8ec7636fd4, Platform: android, PUSH ID: APA91bEAowEq_FUXL7erqRZZwHigijwRJSJRvQrmyZnqUMwPV8IClgVBi3NLtSgx7T_S1ywGJE_ZyCJpmg5R36SZyOiMbyj7DndCJtwGcHGh4zWsCnP92GdIY1g7c_84-2CxwNFhHdIB]	 Status: [Existing]
[Wed Jan 20 19:27:49 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: 7308ba8ec7636fd4, Platform: android, PUSH ID: APA91bEAowEq_FUXL7erqRZZwHigijwRJSJRvQrmyZnqUMwPV8IClgVBi3NLtSgx7T_S1ywGJE_ZyCJpmg5R36SZyOiMbyj7DndCJtwGcHGh4zWsCnP92GdIY1g7c_84-2CxwNFhHdIB]	 Status: [Existing]
[Wed Jan 20 19:27:49 2016]	[client: 112.208.21.39] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 7308ba8ec7636fd4, Platform: android, PUSH ID: APA91bEAowEq_FUXL7erqRZZwHigijwRJSJRvQrmyZnqUMwPV8IClgVBi3NLtSgx7T_S1ywGJE_ZyCJpmg5R36SZyOiMbyj7DndCJtwGcHGh4zWsCnP92GdIY1g7c_84-2CxwNFhHdIB]
[Wed Jan 20 19:28:55 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: 7308ba8ec7636fd4, Platform: android, PUSH ID: APA91bEAowEq_FUXL7erqRZZwHigijwRJSJRvQrmyZnqUMwPV8IClgVBi3NLtSgx7T_S1ywGJE_ZyCJpmg5R36SZyOiMbyj7DndCJtwGcHGh4zWsCnP92GdIY1g7c_84-2CxwNFhHdIB]	 Status: [Existing]
[Wed Jan 20 19:28:57 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: 7308ba8ec7636fd4, Platform: android, PUSH ID: APA91bEAowEq_FUXL7erqRZZwHigijwRJSJRvQrmyZnqUMwPV8IClgVBi3NLtSgx7T_S1ywGJE_ZyCJpmg5R36SZyOiMbyj7DndCJtwGcHGh4zWsCnP92GdIY1g7c_84-2CxwNFhHdIB]	 Status: [Existing]
[Wed Jan 20 19:52:42 2016]	[client: 112.198.101.164] [file: core.class.php] - [Device ID: BB078351-BC7B-485E-A94F-5AE0BFC6B436, Platform: ios, PUSH ID: ba9d1c2b6806f338ecae27158a3d13e808f824c285d7e4a9f23975ca1f0efefb]	 Status: [Success]
[Wed Jan 20 19:54:18 2016]	[client: 112.198.101.164] [file: core.class.php] - [Device ID: b60d6be25cd38f46, Platform: android, PUSH ID: APA91bFhJPYeAbpdUUXEAYUrEjsrjFfPTBcAZPchdwEmpfsgVI2GmK-AeQrpuGKQqWcQqhYK3vH_xOAHIPuhv1DrqB7FT-d1BCUs34KCXFk33CsJjKPZLiEfYYplSFMDOfA3fbAKaIzi]	 Status: [Success]
[Wed Jan 20 19:54:18 2016]	[client: 112.198.101.164] [file: core.class.php] - [Device ID: b60d6be25cd38f46, Platform: android, PUSH ID: APA91bFhJPYeAbpdUUXEAYUrEjsrjFfPTBcAZPchdwEmpfsgVI2GmK-AeQrpuGKQqWcQqhYK3vH_xOAHIPuhv1DrqB7FT-d1BCUs34KCXFk33CsJjKPZLiEfYYplSFMDOfA3fbAKaIzi]	 Status: [Existing]
[Wed Jan 20 20:41:11 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: ec0c23754b35bee0, Platform: android, PUSH ID: APA91bHB7hE6oTy-Pk69pSUmQPPuqjfognHrWxw2H6tUUpzrvIqRNZZ1vq74g-Fln5zFcrgvGCeMal1wE_Zy-fYN1vN8GfornOpF0nI_fQDqFuLJ1CGDYF6wZ9_HWcO8LQCb8FkwLNd4]	 Status: [Success]
[Wed Jan 20 20:41:12 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: ec0c23754b35bee0, Platform: android, PUSH ID: APA91bHB7hE6oTy-Pk69pSUmQPPuqjfognHrWxw2H6tUUpzrvIqRNZZ1vq74g-Fln5zFcrgvGCeMal1wE_Zy-fYN1vN8GfornOpF0nI_fQDqFuLJ1CGDYF6wZ9_HWcO8LQCb8FkwLNd4]	 Status: [Existing]
[Wed Jan 20 21:07:05 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: ec0c23754b35bee0, Platform: android, PUSH ID: APA91bHB7hE6oTy-Pk69pSUmQPPuqjfognHrWxw2H6tUUpzrvIqRNZZ1vq74g-Fln5zFcrgvGCeMal1wE_Zy-fYN1vN8GfornOpF0nI_fQDqFuLJ1CGDYF6wZ9_HWcO8LQCb8FkwLNd4]	 Status: [Existing]
[Wed Jan 20 21:07:06 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: ec0c23754b35bee0, Platform: android, PUSH ID: APA91bHB7hE6oTy-Pk69pSUmQPPuqjfognHrWxw2H6tUUpzrvIqRNZZ1vq74g-Fln5zFcrgvGCeMal1wE_Zy-fYN1vN8GfornOpF0nI_fQDqFuLJ1CGDYF6wZ9_HWcO8LQCb8FkwLNd4]	 Status: [Existing]
[Wed Jan 20 21:35:05 2016]	[client: 121.54.44.147] [file: core.class.php] - [Device ID: 105A42CC-076F-44BA-BFD1-8CECC8D9769D, Platform: ios, PUSH ID: 1024b1b13fa0f9ebe6abe3c4778ceb1cb478433c61f9ce7a8d818695aaabf2dd]	 Status: [Success]
[Wed Jan 20 22:27:15 2016]	[client: 49.149.84.89] [file: core.class.php] - [Device ID: fe011a58a93b477b, Platform: android, PUSH ID: APA91bGD-bEwXh3fxoNZkJEarb-j0A9sQ9vbI9yNP0nW3Dp-zIs9te_d7h06pT_JvdElQ6pi5HWmImbVw6EdmGOH73CjBYY4e2dtFrmV5b0lPgT9JYTFDbhpQ199VFsTVdZjNoRk_tuS]	 Status: [Existing]
[Wed Jan 20 22:27:15 2016]	[client: 49.149.84.89] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: fe011a58a93b477b, Platform: android, PUSH ID: APA91bGD-bEwXh3fxoNZkJEarb-j0A9sQ9vbI9yNP0nW3Dp-zIs9te_d7h06pT_JvdElQ6pi5HWmImbVw6EdmGOH73CjBYY4e2dtFrmV5b0lPgT9JYTFDbhpQ199VFsTVdZjNoRk_tuS]
