[Thu Feb 04 10:20:56 2016]	[client: 124.107.17.114] [file: core.class.php] - [Device ID: c0f1ff6bd6c205cd, Platform: android, PUSH ID: APA91bF5ZE15ckEQbbvscTOCBCSgQLVdpmCTptWSdIy8QvysBlhNVAcSoSH2vz2L8hJcPNkBWsdYDACqcRZd19p8o99j_TIur7_YL_Zoj_sByypVXAlN2qPNEsDS9KNOWgyiGzNfqU1N]	 Status: [Success]
[Thu Feb 04 10:20:57 2016]	[client: 124.107.17.114] [file: core.class.php] - [Device ID: c0f1ff6bd6c205cd, Platform: android, PUSH ID: APA91bF5ZE15ckEQbbvscTOCBCSgQLVdpmCTptWSdIy8QvysBlhNVAcSoSH2vz2L8hJcPNkBWsdYDACqcRZd19p8o99j_TIur7_YL_Zoj_sByypVXAlN2qPNEsDS9KNOWgyiGzNfqU1N]	 Status: [Existing]
[Thu Feb 04 10:22:13 2016]	[client: 112.198.98.213] [file: core.class.php] - [Device ID: f32ecdcccf040dc7, Platform: android, PUSH ID: APA91bHYRmzxuRXszpPJTLRFeRtSoLqjNi43bhZUTnpdshpp0sQHG1NI4uD5NKq5yrLxXCInbVgBDj9T-5TJkLffGLutbt9GFrsMBaEeam0Ay8El0Yk_3eF-reCbwuBWrgisXuiqMoiX]	 Status: [Existing]
[Thu Feb 04 10:22:14 2016]	[client: 112.198.98.213] [file: core.class.php] - [Device ID: f32ecdcccf040dc7, Platform: android, PUSH ID: APA91bHYRmzxuRXszpPJTLRFeRtSoLqjNi43bhZUTnpdshpp0sQHG1NI4uD5NKq5yrLxXCInbVgBDj9T-5TJkLffGLutbt9GFrsMBaEeam0Ay8El0Yk_3eF-reCbwuBWrgisXuiqMoiX]	 Status: [Existing]
[Thu Feb 04 10:24:06 2016]	[client: 124.107.17.114] [file: core.class.php] - [Device ID: 2d1bbbe4160982ac, Platform: android, PUSH ID: APA91bGaSOIoRlRxllSPVr1FPDm3DVsK04uvhOU--k9WQMgofLx3ujmvilcBqkcLjR1Ku6oY0tfiiSEDCWKtkPehBBgEWI53la3Oy-ZKvg1LeJB4WECApDjGVRf2q7dk_y92k0E9ay9x]	 Status: [Success]
[Thu Feb 04 10:24:06 2016]	[client: 112.198.78.64] [file: core.class.php] - [Device ID: 6f38cb8f67360b5f, Platform: android, PUSH ID: APA91bGWhfmoiQho_cF8cI1ax9fF4H1tPBWsHf3WyXBQvJbBqj84z_df_xZQU80MbWBwECEo6OAS4kQDEiNx7yO9t3c-Dl3iQNTr4xEIUTJeMzlV_xbaO9MyFJUwPu9Inuf_KJdo9z1Q]	 Status: [Success]
[Thu Feb 04 10:24:07 2016]	[client: 112.198.78.64] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 6f38cb8f67360b5f, Platform: android, PUSH ID: APA91bGWhfmoiQho_cF8cI1ax9fF4H1tPBWsHf3WyXBQvJbBqj84z_df_xZQU80MbWBwECEo6OAS4kQDEiNx7yO9t3c-Dl3iQNTr4xEIUTJeMzlV_xbaO9MyFJUwPu9Inuf_KJdo9z1Q]
[Thu Feb 04 10:24:16 2016]	[client: 124.107.17.114] [file: core.class.php] - [Device ID: 2d1bbbe4160982ac, Platform: android, PUSH ID: APA91bGaSOIoRlRxllSPVr1FPDm3DVsK04uvhOU--k9WQMgofLx3ujmvilcBqkcLjR1Ku6oY0tfiiSEDCWKtkPehBBgEWI53la3Oy-ZKvg1LeJB4WECApDjGVRf2q7dk_y92k0E9ay9x]	 Status: [Existing]
[Thu Feb 04 10:24:25 2016]	[client: 124.107.17.114] [file: core.class.php] - [Device ID: 2d1bbbe4160982ac, Platform: android, PUSH ID: APA91bGaSOIoRlRxllSPVr1FPDm3DVsK04uvhOU--k9WQMgofLx3ujmvilcBqkcLjR1Ku6oY0tfiiSEDCWKtkPehBBgEWI53la3Oy-ZKvg1LeJB4WECApDjGVRf2q7dk_y92k0E9ay9x]	 Status: [Existing]
[Thu Feb 04 10:24:29 2016]	[client: 124.107.17.114] [file: core.class.php] - [Device ID: 2d1bbbe4160982ac, Platform: android, PUSH ID: APA91bGaSOIoRlRxllSPVr1FPDm3DVsK04uvhOU--k9WQMgofLx3ujmvilcBqkcLjR1Ku6oY0tfiiSEDCWKtkPehBBgEWI53la3Oy-ZKvg1LeJB4WECApDjGVRf2q7dk_y92k0E9ay9x]	 Status: [Existing]
