[Mon Feb 01 18:28:28 2016]	[client: 112.198.102.150] [file: core.class.php] - [Device ID: 5285002ccdde9cbe, Platform: android, PUSH ID: APA91bFkd91iOzNYvpjF9AaTdaCEQPvrU6pZa9l8ON11Nw7dG3EjJTd1tGoV4W5BS71hUTBeaRY42MF12W31sYLBB86zSGvJuzUu75TlaY0OxENuFIxwtMm4jaYC1KNBd_N_QYQlDuGe]	 Status: [Existing]
[Mon Feb 01 18:29:39 2016]	[client: 124.107.17.114] [file: core.class.php] - [Device ID: dd0ee66bb42313cc, Platform: android, PUSH ID: APA91bHgiUnZPhSvvXfeN1apLTSXzkigpjpHGYicM1mUtJq2jtHYIOZ_qIwgEQFXyWfzgj-bzucalTXwjyksjfQi697wE65FC3YMzVlUf_jwWYXgfI3_BOrdWljtjTTtaz8cPZMA_DIg]	 Status: [Existing]
[Mon Feb 01 18:29:40 2016]	[client: 124.107.17.114] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: dd0ee66bb42313cc, Platform: android, PUSH ID: APA91bHgiUnZPhSvvXfeN1apLTSXzkigpjpHGYicM1mUtJq2jtHYIOZ_qIwgEQFXyWfzgj-bzucalTXwjyksjfQi697wE65FC3YMzVlUf_jwWYXgfI3_BOrdWljtjTTtaz8cPZMA_DIg]
[Mon Feb 01 18:30:19 2016]	[client: 112.201.233.5] [file: core.class.php] - [Device ID: c7e8b2ed52a2ce2e, Platform: android, PUSH ID: APA91bEJ_A6YhiPnATlkNQUKbI7esvAQGqp8n09jrgGAI5xz9LjdBaygdphC3Lqev8b6meGIFhEjlOkQevl2bpBm5xfIIa1141qXaIvxGoPgLq6WJWOkyjBETjYwhG83ts7TbAlpe70J]	 Status: [Existing]
[Mon Feb 01 18:30:20 2016]	[client: 112.201.233.5] [file: core.class.php] - [Device ID: c7e8b2ed52a2ce2e, Platform: android, PUSH ID: APA91bEJ_A6YhiPnATlkNQUKbI7esvAQGqp8n09jrgGAI5xz9LjdBaygdphC3Lqev8b6meGIFhEjlOkQevl2bpBm5xfIIa1141qXaIvxGoPgLq6WJWOkyjBETjYwhG83ts7TbAlpe70J]	 Status: [Existing]
[Mon Feb 01 18:32:40 2016]	[client: 124.107.17.114] [file: core.class.php] - [Device ID: 1CBBD7C3-5047-46B0-9315-1F7933C33620, Platform: ios, PUSH ID: a7030145f8811137f3ce0a8d4de81b1a1f15c475f3d2c090001d45df48183716]	 Status: [Success]
[Mon Feb 01 18:37:13 2016]	[client: 124.107.17.114] [file: core.class.php] - [Device ID: dd0ee66bb42313cc, Platform: android, PUSH ID: APA91bHgiUnZPhSvvXfeN1apLTSXzkigpjpHGYicM1mUtJq2jtHYIOZ_qIwgEQFXyWfzgj-bzucalTXwjyksjfQi697wE65FC3YMzVlUf_jwWYXgfI3_BOrdWljtjTTtaz8cPZMA_DIg]	 Status: [Existing]
[Mon Feb 01 18:37:14 2016]	[client: 124.107.17.114] [file: core.class.php] - [Device ID: dd0ee66bb42313cc, Platform: android, PUSH ID: APA91bHgiUnZPhSvvXfeN1apLTSXzkigpjpHGYicM1mUtJq2jtHYIOZ_qIwgEQFXyWfzgj-bzucalTXwjyksjfQi697wE65FC3YMzVlUf_jwWYXgfI3_BOrdWljtjTTtaz8cPZMA_DIg]	 Status: [Existing]
[Mon Feb 01 18:39:11 2016]	[client: 124.107.17.114] [file: core.class.php] - [Device ID: dd0ee66bb42313cc, Platform: android, PUSH ID: APA91bHgiUnZPhSvvXfeN1apLTSXzkigpjpHGYicM1mUtJq2jtHYIOZ_qIwgEQFXyWfzgj-bzucalTXwjyksjfQi697wE65FC3YMzVlUf_jwWYXgfI3_BOrdWljtjTTtaz8cPZMA_DIg]	 Status: [Existing]
[Mon Feb 01 18:39:12 2016]	[client: 124.107.17.114] [file: core.class.php] - [Device ID: dd0ee66bb42313cc, Platform: android, PUSH ID: APA91bHgiUnZPhSvvXfeN1apLTSXzkigpjpHGYicM1mUtJq2jtHYIOZ_qIwgEQFXyWfzgj-bzucalTXwjyksjfQi697wE65FC3YMzVlUf_jwWYXgfI3_BOrdWljtjTTtaz8cPZMA_DIg]	 Status: [Existing]
