[Mon Dec 07 10:29:27 2015]	[client: 124.107.17.114] [file: core.class.php] - [Device ID: 22d0589cf1ebc53d, Platform: android, PUSH ID: APA91bHDnSX9V14xEemy80Mg1OTmu0ijs9ets_yp0L3aXCPLXH3q6R3UK6pRxPcEY0HeWEGGQTZrdoR7mgO-SYUL2FVhXbY2TlDryvV0bNnmLRMfaRbr-QFUXfamv2_9GYgo8GU9EZ5X]	 Status: [Success]
[Mon Dec 07 10:29:28 2015]	[client: 124.107.17.114] [file: core.class.php] - [Device ID: 22d0589cf1ebc53d, Platform: android, PUSH ID: APA91bHDnSX9V14xEemy80Mg1OTmu0ijs9ets_yp0L3aXCPLXH3q6R3UK6pRxPcEY0HeWEGGQTZrdoR7mgO-SYUL2FVhXbY2TlDryvV0bNnmLRMfaRbr-QFUXfamv2_9GYgo8GU9EZ5X]	 Status: [Existing]
[Mon Dec 07 10:34:45 2015]	[client: 124.107.17.114] [file: core.class.php] - [Device ID: 22d0589cf1ebc53d, Platform: android, PUSH ID: APA91bHDnSX9V14xEemy80Mg1OTmu0ijs9ets_yp0L3aXCPLXH3q6R3UK6pRxPcEY0HeWEGGQTZrdoR7mgO-SYUL2FVhXbY2TlDryvV0bNnmLRMfaRbr-QFUXfamv2_9GYgo8GU9EZ5X]	 Status: [Existing]
[Mon Dec 07 10:34:45 2015]	[client: 124.107.17.114] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 22d0589cf1ebc53d, Platform: android, PUSH ID: APA91bHDnSX9V14xEemy80Mg1OTmu0ijs9ets_yp0L3aXCPLXH3q6R3UK6pRxPcEY0HeWEGGQTZrdoR7mgO-SYUL2FVhXbY2TlDryvV0bNnmLRMfaRbr-QFUXfamv2_9GYgo8GU9EZ5X]
[Mon Dec 07 10:36:05 2015]	[client: 124.107.17.114] [file: core.class.php] - [Device ID: 22d0589cf1ebc53d, Platform: android, PUSH ID: APA91bHDnSX9V14xEemy80Mg1OTmu0ijs9ets_yp0L3aXCPLXH3q6R3UK6pRxPcEY0HeWEGGQTZrdoR7mgO-SYUL2FVhXbY2TlDryvV0bNnmLRMfaRbr-QFUXfamv2_9GYgo8GU9EZ5X]	 Status: [Existing]
[Mon Dec 07 10:36:05 2015]	[client: 124.107.17.114] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 22d0589cf1ebc53d, Platform: android, PUSH ID: APA91bHDnSX9V14xEemy80Mg1OTmu0ijs9ets_yp0L3aXCPLXH3q6R3UK6pRxPcEY0HeWEGGQTZrdoR7mgO-SYUL2FVhXbY2TlDryvV0bNnmLRMfaRbr-QFUXfamv2_9GYgo8GU9EZ5X]
[Mon Dec 07 12:41:36 2015]	[client: 49.150.147.95] [file: core.class.php] - [Device ID: cc7d0f39ed7079db, Platform: android, PUSH ID: APA91bF2B3NtLjdBglhQLGG22x5wlMriujzzDmwDzgOZXo2sNUJGw6-Tm3SPpn531TY0WGM9s7gXa_V4wU93JG-0BNwbnslyrBk8PJNmsbzzh6cJOHld5uI9-5CN5elwJ8L_nckJvv-w]	 Status: [Existing]
[Mon Dec 07 12:41:36 2015]	[client: 49.150.147.95] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: cc7d0f39ed7079db, Platform: android, PUSH ID: APA91bF2B3NtLjdBglhQLGG22x5wlMriujzzDmwDzgOZXo2sNUJGw6-Tm3SPpn531TY0WGM9s7gXa_V4wU93JG-0BNwbnslyrBk8PJNmsbzzh6cJOHld5uI9-5CN5elwJ8L_nckJvv-w]
[Mon Dec 07 21:36:10 2015]	[client: 119.95.51.255] [file: core.class.php] - [Device ID: 6afb4de65d10acd6, Platform: android, PUSH ID: APA91bF1_gYK0PlZ2IJxyiucOYJdvLpW3cJ79sqZ1wikP29_qP_pUZIMso1Xccmk44vSe_2pfh0UW-Tyy01n5-2YM0zeT8t7fUIzdbmtpSX4RhYurXkqtGAQ6887cHhJYUfiOnt3zbFp]	 Status: [Success]
[Mon Dec 07 21:36:11 2015]	[client: 119.95.51.255] [file: core.class.php] - [Device ID: 6afb4de65d10acd6, Platform: android, PUSH ID: APA91bF1_gYK0PlZ2IJxyiucOYJdvLpW3cJ79sqZ1wikP29_qP_pUZIMso1Xccmk44vSe_2pfh0UW-Tyy01n5-2YM0zeT8t7fUIzdbmtpSX4RhYurXkqtGAQ6887cHhJYUfiOnt3zbFp]	 Status: [Existing]
