[Fri Dec 04 13:55:11 2015]	[client: 112.198.190.14] [file: core.class.php] - [Device ID: cc7d0f39ed7079db, Platform: android, PUSH ID: APA91bF2B3NtLjdBglhQLGG22x5wlMriujzzDmwDzgOZXo2sNUJGw6-Tm3SPpn531TY0WGM9s7gXa_V4wU93JG-0BNwbnslyrBk8PJNmsbzzh6cJOHld5uI9-5CN5elwJ8L_nckJvv-w]	 Status: [Existing]
[Fri Dec 04 13:55:12 2015]	[client: 112.198.190.2] [file: core.class.php] - [Device ID: cc7d0f39ed7079db, Platform: android, PUSH ID: APA91bF2B3NtLjdBglhQLGG22x5wlMriujzzDmwDzgOZXo2sNUJGw6-Tm3SPpn531TY0WGM9s7gXa_V4wU93JG-0BNwbnslyrBk8PJNmsbzzh6cJOHld5uI9-5CN5elwJ8L_nckJvv-w]	 Status: [Existing]
[Fri Dec 04 13:58:27 2015]	[client: 112.198.190.6] [file: core.class.php] - [Device ID: cc7d0f39ed7079db, Platform: android, PUSH ID: APA91bF2B3NtLjdBglhQLGG22x5wlMriujzzDmwDzgOZXo2sNUJGw6-Tm3SPpn531TY0WGM9s7gXa_V4wU93JG-0BNwbnslyrBk8PJNmsbzzh6cJOHld5uI9-5CN5elwJ8L_nckJvv-w]	 Status: [Existing]
[Fri Dec 04 13:58:28 2015]	[client: 112.198.190.3] [file: core.class.php] - [Device ID: cc7d0f39ed7079db, Platform: android, PUSH ID: APA91bF2B3NtLjdBglhQLGG22x5wlMriujzzDmwDzgOZXo2sNUJGw6-Tm3SPpn531TY0WGM9s7gXa_V4wU93JG-0BNwbnslyrBk8PJNmsbzzh6cJOHld5uI9-5CN5elwJ8L_nckJvv-w]	 Status: [Existing]
[Fri Dec 04 14:11:52 2015]	[client: 180.191.79.29] [file: core.class.php] - [Device ID: ba9319a27690e232, Platform: android, PUSH ID: APA91bFbIANtQOtYNU6td_wvOwRryfGVlpoLT7q3lMBhPZ8EtxQQ3sHpZsOUfYhc9oHikhPY_wwbDwyNUpatpfzuzJgVNK6O7vbJXI_DWxPBFQD0CrMXlXiVOE81_mBcJ9d2vSKDwsfj]	 Status: [Existing]
[Fri Dec 04 14:11:53 2015]	[client: 180.191.79.29] [file: core.class.php] - [Device ID: ba9319a27690e232, Platform: android, PUSH ID: APA91bFbIANtQOtYNU6td_wvOwRryfGVlpoLT7q3lMBhPZ8EtxQQ3sHpZsOUfYhc9oHikhPY_wwbDwyNUpatpfzuzJgVNK6O7vbJXI_DWxPBFQD0CrMXlXiVOE81_mBcJ9d2vSKDwsfj]	 Status: [Existing]
[Fri Dec 04 16:42:30 2015]	[client: 112.198.18.126] [file: core.class.php] - [Device ID: ff01781d38e3ba38, Platform: android, PUSH ID: APA91bGa8HXRZXGv9D9YgyuUpDoqDI4TNwXGJ6F7QLz925tmSqb2AHLlDou0RDElKlvyQLHJBJKuNaQhc-x_t_Ri083ixxqeaLqdwhaxEGUrlWQuYVsPrlYm70W0j09jrX9zo6N8-8Mu]	 Status: [Success]
[Fri Dec 04 16:42:30 2015]	[client: 112.198.18.126] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: ff01781d38e3ba38, Platform: android, PUSH ID: APA91bGa8HXRZXGv9D9YgyuUpDoqDI4TNwXGJ6F7QLz925tmSqb2AHLlDou0RDElKlvyQLHJBJKuNaQhc-x_t_Ri083ixxqeaLqdwhaxEGUrlWQuYVsPrlYm70W0j09jrX9zo6N8-8Mu]
[Fri Dec 04 19:03:25 2015]	[client: 112.209.224.21] [file: core.class.php] - [Device ID: F7C36A69-4276-489C-92FA-A7DCFE115E98, Platform: ios, PUSH ID: a6e6a62405332a49fb29c6e75d63c674bfbb50eaf11fdcdb61e8921ac5d1546b]	 Status: [Success]
[Fri Dec 04 23:23:17 2015]	[client: 180.191.155.205] [file: core.class.php] - [Device ID: 66E7DDAB-F0EC-4460-B2DA-7C749B7765E0, Platform: ios, PUSH ID: 6369fd9599225315221086b050afef788e0c9f88ac982efc343215a932e465a2]	 Status: [Success]
