[Fri Jan 22 18:46:25 2016]	[client: 112.208.32.15] [file: core.class.php] - [Device ID: 9197b652a0ac1d7a, Platform: android, PUSH ID: APA91bGriblMyPtvaer6EX8tqGbKMi16sepOIIFUR5ODZEsSN10YdpZe3UzEzs2S6Y3l7W5YwMSIBLqfoXtqYP_Umu3Bdagbxn02JjC6dhbRJmCYwUNs-3NRj3CPoQyY4ESYmr5IpRkR]	 Status: [Success]
[Fri Jan 22 18:46:26 2016]	[client: 112.208.32.15] [file: core.class.php] - [Device ID: 9197b652a0ac1d7a, Platform: android, PUSH ID: APA91bGriblMyPtvaer6EX8tqGbKMi16sepOIIFUR5ODZEsSN10YdpZe3UzEzs2S6Y3l7W5YwMSIBLqfoXtqYP_Umu3Bdagbxn02JjC6dhbRJmCYwUNs-3NRj3CPoQyY4ESYmr5IpRkR]	 Status: [Existing]
[Fri Jan 22 18:53:51 2016]	[client: 112.208.32.15] [file: core.class.php] - [Device ID: 9197b652a0ac1d7a, Platform: android, PUSH ID: APA91bGriblMyPtvaer6EX8tqGbKMi16sepOIIFUR5ODZEsSN10YdpZe3UzEzs2S6Y3l7W5YwMSIBLqfoXtqYP_Umu3Bdagbxn02JjC6dhbRJmCYwUNs-3NRj3CPoQyY4ESYmr5IpRkR]	 Status: [Existing]
[Fri Jan 22 18:53:52 2016]	[client: 112.208.32.15] [file: core.class.php] - [Device ID: 9197b652a0ac1d7a, Platform: android, PUSH ID: APA91bGriblMyPtvaer6EX8tqGbKMi16sepOIIFUR5ODZEsSN10YdpZe3UzEzs2S6Y3l7W5YwMSIBLqfoXtqYP_Umu3Bdagbxn02JjC6dhbRJmCYwUNs-3NRj3CPoQyY4ESYmr5IpRkR]	 Status: [Existing]
[Fri Jan 22 18:55:31 2016]	[client: 112.208.32.15] [file: core.class.php] - [Device ID: 659df65e2e3f9407, Platform: android, PUSH ID: APA91bFqX6f_v-vgD2qLpTPH6lupsd4GY4eo1Xulz4RJXh5ysYh9ZJ-4aXhc0QgEBW_v4y6Qfmd3DVMZo6GAZlLvO2A1CNKMeR54hvmwH1K2GVFcMW8abzgzS8Q0Tmo0KS-7ZgpJtioy]	 Status: [Success]
[Fri Jan 22 18:55:32 2016]	[client: 112.208.32.15] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 659df65e2e3f9407, Platform: android, PUSH ID: APA91bFqX6f_v-vgD2qLpTPH6lupsd4GY4eo1Xulz4RJXh5ysYh9ZJ-4aXhc0QgEBW_v4y6Qfmd3DVMZo6GAZlLvO2A1CNKMeR54hvmwH1K2GVFcMW8abzgzS8Q0Tmo0KS-7ZgpJtioy]
[Fri Jan 22 19:25:47 2016]	[client: 112.208.32.15] [file: core.class.php] - [Device ID: 4949871ae21fbb42, Platform: android, PUSH ID: APA91bEqYoLfUebLdb8BMrR8E2k0ID7Eax10GY2SKHMyvFCs7-zBEDE91wkoQVf3dUGEFnHlTJLkZubsi3zj5cvbmuVJz-lSLZ5Sx8NI4WhZipF8368Q2UnsByeYzrSHt1fXIwu3gI7M]	 Status: [Success]
[Fri Jan 22 19:25:48 2016]	[client: 112.208.32.15] [file: core.class.php] - [Device ID: 4949871ae21fbb42, Platform: android, PUSH ID: APA91bEqYoLfUebLdb8BMrR8E2k0ID7Eax10GY2SKHMyvFCs7-zBEDE91wkoQVf3dUGEFnHlTJLkZubsi3zj5cvbmuVJz-lSLZ5Sx8NI4WhZipF8368Q2UnsByeYzrSHt1fXIwu3gI7M]	 Status: [Existing]
[Fri Jan 22 19:30:29 2016]	[client: 203.87.156.166] [file: core.class.php] - [Device ID: 21f3c4fa7cfce3f4, Platform: android, PUSH ID: APA91bEuADpk9TNuVGlWZOKVdBPD54sbAKVhOQv0P2fHaKUApfkWnYgIv6HizdSFKk9HQcVvs45v_Om4WpRjh-9HqLuF4wLohPp2MyCS2zzK-Cea1-t-4owF9XWNSN3MWEkjn-M3D7Wq]	 Status: [Success]
[Fri Jan 22 19:30:30 2016]	[client: 203.87.156.166] [file: core.class.php] - [Device ID: 21f3c4fa7cfce3f4, Platform: android, PUSH ID: APA91bEuADpk9TNuVGlWZOKVdBPD54sbAKVhOQv0P2fHaKUApfkWnYgIv6HizdSFKk9HQcVvs45v_Om4WpRjh-9HqLuF4wLohPp2MyCS2zzK-Cea1-t-4owF9XWNSN3MWEkjn-M3D7Wq]	 Status: [Existing]
[Fri Jan 22 19:31:05 2016]	[client: 112.198.83.20] [file: core.class.php] - [Device ID: 4639641f4d9c50b3, Platform: android, PUSH ID: APA91bFA9wA-EIhqwToDFly9aK_7QcQhZWF-Jz1hsL6a1dlK9_meV_2ZcjQhY_7E14hC-SO94nciV5JwQqrvyXYT-6pcKxZBNy59xl4Iboy-UgMlfA_OuRbcbI74_cY6WHYlKHv9w_BE]	 Status: [Success]
[Fri Jan 22 19:31:05 2016]	[client: 112.198.83.20] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 4639641f4d9c50b3, Platform: android, PUSH ID: APA91bFA9wA-EIhqwToDFly9aK_7QcQhZWF-Jz1hsL6a1dlK9_meV_2ZcjQhY_7E14hC-SO94nciV5JwQqrvyXYT-6pcKxZBNy59xl4Iboy-UgMlfA_OuRbcbI74_cY6WHYlKHv9w_BE]
[Fri Jan 22 19:31:18 2016]	[client: 159.203.235.13] [file: core.class.php] - [Device ID: 9b3676bb6a62346, Platform: android, PUSH ID: APA91bEhf0oAntK8Vocvmhq6Bol9zelDsewNOi43vohchGLvmPcTElM_ObWBgjHWyM3cZrrSFg7Ccm3-RcT1n-wwrnZ7OoXDR5friVkt_3Z7KfNZQ2d4a-u5zqBKbKFSWDk74hqknYxH]	 Status: [Success]
[Fri Jan 22 19:31:19 2016]	[client: 159.203.235.13] [file: core.class.php] - [Device ID: 9b3676bb6a62346, Platform: android, PUSH ID: APA91bEhf0oAntK8Vocvmhq6Bol9zelDsewNOi43vohchGLvmPcTElM_ObWBgjHWyM3cZrrSFg7Ccm3-RcT1n-wwrnZ7OoXDR5friVkt_3Z7KfNZQ2d4a-u5zqBKbKFSWDk74hqknYxH]	 Status: [Existing]
[Fri Jan 22 19:32:06 2016]	[client: 203.87.156.166] [file: core.class.php] - [Device ID: 95c492a7ac306086, Platform: android, PUSH ID: APA91bGp3MZkduK5eyCnazMKT96IGXCi-GQA9tX-U_ENTijxjK0Lt9SMsORJ-LKxXfpi9VhWLzCnwNIC_rtHbzI3jBfXZP3T-WqR5ezfAaomuyJiUenqX5vFsjct89hQoI4v2imCrzVJ]	 Status: [Success]
[Fri Jan 22 19:32:06 2016]	[client: 203.87.156.166] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 95c492a7ac306086, Platform: android, PUSH ID: APA91bGp3MZkduK5eyCnazMKT96IGXCi-GQA9tX-U_ENTijxjK0Lt9SMsORJ-LKxXfpi9VhWLzCnwNIC_rtHbzI3jBfXZP3T-WqR5ezfAaomuyJiUenqX5vFsjct89hQoI4v2imCrzVJ]
[Fri Jan 22 19:33:57 2016]	[client: 203.87.156.166] [file: core.class.php] - [Device ID: 95c492a7ac306086, Platform: android, PUSH ID: APA91bGp3MZkduK5eyCnazMKT96IGXCi-GQA9tX-U_ENTijxjK0Lt9SMsORJ-LKxXfpi9VhWLzCnwNIC_rtHbzI3jBfXZP3T-WqR5ezfAaomuyJiUenqX5vFsjct89hQoI4v2imCrzVJ]	 Status: [Existing]
[Fri Jan 22 19:33:57 2016]	[client: 203.87.156.166] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 95c492a7ac306086, Platform: android, PUSH ID: APA91bGp3MZkduK5eyCnazMKT96IGXCi-GQA9tX-U_ENTijxjK0Lt9SMsORJ-LKxXfpi9VhWLzCnwNIC_rtHbzI3jBfXZP3T-WqR5ezfAaomuyJiUenqX5vFsjct89hQoI4v2imCrzVJ]
[Fri Jan 22 19:34:05 2016]	[client: 203.87.156.166] [file: core.class.php] - [Device ID: bdae2f0f23975e93, Platform: android, PUSH ID: APA91bGtbLQkxfKhb9yZlhfIZh_HDMbalq1hIq1kZP17gGiBBrpwJ2Cy3z1LWwwGgljI2EChjATGikMAmuwhnxYQckcGAejx7YrRGN0BfPiCrL3VokYIaHMjLAYUG0j9mck2kFitE0mf]	 Status: [Success]
[Fri Jan 22 19:34:06 2016]	[client: 203.87.156.166] [file: core.class.php] - [Device ID: bdae2f0f23975e93, Platform: android, PUSH ID: APA91bHj882_6Ja9dqh7rUuemnDxSmpqtB-kwxREgyXWYr4mVUFhGz6laPxUgejSE9gnx27BA9Fh3yLEzZEx3DiDSWBLOpPuU9hzvryoSVcL22v0NsV1AxL4SSIYyKvakbDwW2fGwFc2]	 Status: [Existing]
[Fri Jan 22 19:34:20 2016]	[client: 203.87.156.166] [file: core.class.php] - [Device ID: 21f3c4fa7cfce3f4, Platform: android, PUSH ID: APA91bEuADpk9TNuVGlWZOKVdBPD54sbAKVhOQv0P2fHaKUApfkWnYgIv6HizdSFKk9HQcVvs45v_Om4WpRjh-9HqLuF4wLohPp2MyCS2zzK-Cea1-t-4owF9XWNSN3MWEkjn-M3D7Wq]	 Status: [Existing]
[Fri Jan 22 19:34:20 2016]	[client: 203.87.156.166] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 21f3c4fa7cfce3f4, Platform: android, PUSH ID: APA91bEuADpk9TNuVGlWZOKVdBPD54sbAKVhOQv0P2fHaKUApfkWnYgIv6HizdSFKk9HQcVvs45v_Om4WpRjh-9HqLuF4wLohPp2MyCS2zzK-Cea1-t-4owF9XWNSN3MWEkjn-M3D7Wq]
[Fri Jan 22 19:35:03 2016]	[client: 203.87.156.166] [file: core.class.php] - [Device ID: ac84b003cc40444d, Platform: android, PUSH ID: APA91bHnAkfuDq3ydVFD5N0r5rrJh6_SMvKl6S-h3GwYLDojHTpBg-mKD_vpN7Bs4Q5cuJfgCpQsRxtsoL6GTuOzFJ2EJe176FCbCFVvXxBRd8S9C2_i5prtv_e8mN8il3BC7V7Lk_pS]	 Status: [Success]
[Fri Jan 22 19:36:42 2016]	[client: 203.87.156.166] [file: core.class.php] - [Device ID: 6b5a5935ed4824bb, Platform: android, PUSH ID: APA91bE8iyli3XKvtpG_G2CY171hpb1rmk8zCwHrro9DrJRcwW7r7ls_likdd9zuf5T7i2s5ZSNkBjzmivWioL47S32hCabiSUpMkUopYJ6-EBlKc60vkDYh4RsqYZHhnhD8MbDwFbJK]	 Status: [Success]
[Fri Jan 22 19:36:42 2016]	[client: 203.87.156.166] [file: core.class.php] - [Device ID: 6b5a5935ed4824bb, Platform: android, PUSH ID: APA91bEBQBLf0Igo_sm9jIrYj8IRtkf8K7QtmPK8A0M2Nju-VMHwKdxo-9uxsWLGNQBXHiQ_uK2b7vYS5Ms0NkF1NXckQeXPvhAJ1-g2Vj8xAtv6XLaJDchYmpsETklu-hXPBk5iJC9X]	 Status: [Existing]
[Fri Jan 22 19:42:49 2016]	[client: 203.87.156.187] [file: core.class.php] - [Device ID: 6b5a5935ed4824bb, Platform: android, PUSH ID: APA91bEBQBLf0Igo_sm9jIrYj8IRtkf8K7QtmPK8A0M2Nju-VMHwKdxo-9uxsWLGNQBXHiQ_uK2b7vYS5Ms0NkF1NXckQeXPvhAJ1-g2Vj8xAtv6XLaJDchYmpsETklu-hXPBk5iJC9X]	 Status: [Existing]
[Fri Jan 22 19:42:49 2016]	[client: 203.87.156.187] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 6b5a5935ed4824bb, Platform: android, PUSH ID: APA91bEBQBLf0Igo_sm9jIrYj8IRtkf8K7QtmPK8A0M2Nju-VMHwKdxo-9uxsWLGNQBXHiQ_uK2b7vYS5Ms0NkF1NXckQeXPvhAJ1-g2Vj8xAtv6XLaJDchYmpsETklu-hXPBk5iJC9X]
[Fri Jan 22 19:49:01 2016]	[client: 203.87.156.179] [file: core.class.php] - [Device ID: bdae2f0f23975e93, Platform: android, PUSH ID: APA91bHj882_6Ja9dqh7rUuemnDxSmpqtB-kwxREgyXWYr4mVUFhGz6laPxUgejSE9gnx27BA9Fh3yLEzZEx3DiDSWBLOpPuU9hzvryoSVcL22v0NsV1AxL4SSIYyKvakbDwW2fGwFc2]	 Status: [Existing]
[Fri Jan 22 19:49:01 2016]	[client: 203.87.156.179] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: bdae2f0f23975e93, Platform: android, PUSH ID: APA91bHj882_6Ja9dqh7rUuemnDxSmpqtB-kwxREgyXWYr4mVUFhGz6laPxUgejSE9gnx27BA9Fh3yLEzZEx3DiDSWBLOpPuU9hzvryoSVcL22v0NsV1AxL4SSIYyKvakbDwW2fGwFc2]
[Fri Jan 22 20:00:38 2016]	[client: 112.198.79.148] [file: core.class.php] - [Device ID: 9197b652a0ac1d7a, Platform: android, PUSH ID: APA91bGriblMyPtvaer6EX8tqGbKMi16sepOIIFUR5ODZEsSN10YdpZe3UzEzs2S6Y3l7W5YwMSIBLqfoXtqYP_Umu3Bdagbxn02JjC6dhbRJmCYwUNs-3NRj3CPoQyY4ESYmr5IpRkR]	 Status: [Existing]
[Fri Jan 22 20:00:38 2016]	[client: 112.198.79.148] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 9197b652a0ac1d7a, Platform: android, PUSH ID: APA91bGriblMyPtvaer6EX8tqGbKMi16sepOIIFUR5ODZEsSN10YdpZe3UzEzs2S6Y3l7W5YwMSIBLqfoXtqYP_Umu3Bdagbxn02JjC6dhbRJmCYwUNs-3NRj3CPoQyY4ESYmr5IpRkR]
[Fri Jan 22 20:02:03 2016]	[client: 112.208.32.15] [file: core.class.php] - [Device ID: 07532F02-E302-4F55-AA6E-D4BD2B93BAF6, Platform: ios, PUSH ID: 413a5a9c80399b5a3c4f4c148433fa36efc50a4c6a902be707eea082e21befed]	 Status: [Success]
